customer_id,prediction,probability
6813-GZQCG,0,0.0
9330-VOFSZ,0,0.0
0396-HUJBP,0,0.0
1410-RSCMR,0,0.23943661971830985
9702-AIUJO,0,0.1346153846153846
6140-QNRQQ,1,0.76
5835-BEQEU,1,0.72
6416-JNVRK,0,0.06896551724137931
0856-NAOES,0,0.23943661971830985
2709-UQGNP,0,0.23943661971830985
2004-OCQXK,1,0.91
1373-ORVIZ,0,0.23943661971830985
8182-PNAGI,0,0.23943661971830985
0899-WZRSD,0,0.2222222222222222
5730-DBDSI,0,0.011152416356877323
4877-EVATK,0,0.3645833333333333
7531-GQHME,0,0.11475409836065574
3779-OSWCF,0,0.2
4807-IZYOZ,0,0.011152416356877323
3251-YMVWZ,0,0.03333333333333333
7067-KSAZT,0,0.4
6008-NAIXK,0,0.1346153846153846
1557-EMYVT,0,0.0
5025-GOOKI,0,0.0
6908-VVYHM,0,0.0
8738-JOKAR,0,0.06896551724137931
0637-KVDLV,1,0.72
9881-VCZEP,0,0.010309278350515464
3705-PSNGL,0,0.03333333333333333
0410-IPFTY,0,0.2777777777777778
4999-IEZLT,0,0.015873015873015872
0723-FDLAY,0,0.1346153846153846
8628-MFKAX,0,0.0
3099-OONVS,0,0.125
2169-RRLFW,0,0.0
5919-TMRGD,1,0.91
5950-AAAGJ,0,0.3969465648854962
9402-ORRAH,1,0.6649484536082474
8374-UULRV,0,0.011152416356877323
5985-BEHZK,0,0.0
2725-IWWBA,0,0.015873015873015872
8201-AAXCB,0,0.125
8949-JTMAY,0,0.3969465648854962
3787-TRIAL,0,0.11627906976744186
0281-CNTZX,0,0.0
0402-OAMEN,0,0.0
7114-AEOZE,0,0.011152416356877323
4587-NUKOX,0,0.13333333333333333
5377-NDTOU,0,0.015267175572519083
8294-UIMBA,0,0.16666666666666666
2889-FPWRM,1,0.75
0376-YMCJC,1,0.6333333333333333
0178-SZBHO,1,0.5714285714285714
4335-BSMJS,0,0.011152416356877323
7163-OCEQI,0,0.1346153846153846
0310-MVLET,0,0.49122807017543857
7109-MFBYV,0,0.010309278350515464
1919-RTPQD,0,0.23943661971830985
0947-IDHRQ,1,0.7743589743589744
9955-QOPOY,0,0.1346153846153846
2999-AANRQ,0,0.011152416356877323
6654-QGBZZ,0,0.3645833333333333
